line,verse,part,text
57,15,2,เคยโอบอ้อมอ่อนตามไม่ห้ามหวง
58,15,3,ยังเคลิ้มเคล้นเช่นประทุมกระพุ่มพวง
59,15,4,เคยแนบทรวงไสยาสน์ไม่คลาศคลาย
60,16,1,จนเคลิ้มองค์หลงเชยเขนยหนุน
61,16,2,ถนอมอุ่นแอบประโลมว่าโฉมฉาย
62,16,3,ครั้นรู้สึกดึกดื่นสอื้นอาย
63,16,4,แสนเสียดายสุดจะดิ้นสิ้นชีวัน
64,17,1,เห็นสิ่งของน้องนุชยิ่งสุดเศร้า
65,17,2,พระไทยเฝ้าเคลิ้มไคล้ดังใฝ่ฝัน
66,17,3,ยิ่งรำฦกตรึกตรายิ่งจาบัลย
67,17,4,สุดจะกลั้นรีบออกนอกบรรพต
68,18,1,พินิจจันทร์วันเพ็งขึ้นเปล่งแสง
69,18,2,กระจ่างแจ้งแจ่มวงทั้งทรงกลด
70,18,3,สี่พี่เลี้ยงเคียงพร้อมน้อมประนต
71,18,4,พระเลี้ยวลดแลแสวงดูแสงเดือน
72,19,1,ดูเก๋งก่อต่อเตาเห็นเงาคล้าย
73,19,2,เขม้นหมายมุ่งไปก็ไม่เหมือน
74,19,3,เห็นเงาไม้ไหวหวั่นให้ฟั่นเฟือน
75,19,4,จนเดือนเคลื่อนคล้อยฟ้าให้อาวรณ์
76,20,1,เห็นสระศรีที่เคยมาประพาศ
77,20,2,รดะดาษดอกดวงบัวหลวงสลอน
78,20,3,ลมรำเพยเชยชายกระจายจร
79,20,4,หอมเกสรเสาวคนธ์ที่หล่นโรย
80,21,1,โอ้รินรินกลิ่นบุหงาสตาหมัน
81,21,2,เหมือนกลิ่นจันทน์เจือนวลให้หวนโหย
82,21,3,หอมยี่หุบสุกรมดอกยมโดย
83,21,4,พระพายโชยเฉื่อยชื่นยืนตลึง
84,22,1,โอ้ที่นี่ศีลาเคยมานั่ง
85,22,2,เห็นบัลลังก์แล้วยิ่งนึกรำฦกถึง
86,22,3,ดูเงื้อมเขาเงาไม้พระไทรซึ้ง
87,22,4,เสียงหึ่งหึ่งผึ้งรวงเฝ้าหวงรัง
88,23,1,จังหรีดหริ่งกิ่งไทรเรไรร้อง
89,23,2,แว่วว่าน้องนึกเสียวพระเหลียวหลัง
90,23,3,เห็นน้ำพุดุดั้นตรงบัลลังก์
91,23,4,เคยมานั่งสรงชลที่บนเตียง
92,24,1,เจ้าสรงด้วยช่วยพี่สีขนอง
93,24,2,แต่น้ำต้องถูกนี๊ดก็หวีดเสียง
94,24,3,โอ้รื่นรื่นชื่นเชยที่เคยเคียง
95,24,4,พระทรวงเพียงเผ่าร้อนถอนฤไทย
96,25,1,ทุกเงื้อมเขาเหงาเงียบเซียบสงัด
97,25,2,ใบไม้กวัดแกว่งกิ่งประวิงไหว
98,25,3,ยเยือกเย็นเส้นหญ้าพนาไลย
99,25,4,ยิ่งเยือกในทรวงช้ำระยำเย็น
100,26,1,เที่ยวรอบสระประทุมาสตาหมัน
101,26,2,เคยเห็นขวัญเนตรที่ไหนก็ไม่เห็น
102,26,3,ชลไนยไหลซกตกกระเซ็น
103,26,4,ยิ่งเยือกเย็นหยุดยืนกลืนน้ำตา
104,27,1,จนดึกดื่นรื่นรินกลิ่นกุหลาบ
105,27,2,ตลึงเหลียวเสียวซาบอาบนาสา
106,27,3,เหมือนปรางทองน้องนุชบุษบา
107,27,4,ฤๅกลับมายืนแฝงอยู่แห่งใด
108,28,1,เที่ยวดูดาวเปล่าเปลี่ยวเสียวสดุ้ง
109,28,2,จนจวนรุ่งรางรางสว่างไสว
110,28,3,หนาวน้ำค้างพร่างพรมพนมไพร
111,28,4,ดวงดอกไม้บานแบ่งรับแสงทอง
112,29,1,หอมมณฑาสารภีดอกยี่หุบ
113,29,2,บ้างร่วงหรุบถูกอุระพระขนอง
114,29,3,ภุมรินบินว่อนมาร่อนร้อง
115,29,4,อาบลอองเกสรขจรจาย
116,30,1,จนแจ่มแจ้งแสงสว่างนภางค์พื้น
117,30,2,ถอนสอื้นอาไลยพระไทยหาย
118,30,3,ดูเวหาว่าแสนแค้นพระพาย
119,30,4,ไม่พาสายสวาทคืนมาชื่นใจ
120,31,1,จำจะตามทรามชมทางลมพัด
121,31,2,เผื่อจะพลัดตกลงที่ตรงไหน
122,31,3,ดำริห์พลางทางสท้อนถอนฤไทย
123,31,4,ให้เตรียมพลสกลไกรจะไคลคลา
124,32,1,จึงแปลงนามตามกันเปนปันจุเหร็จ
125,32,2,จะเที่ยวเตร็ดเตร่ในไพรพฤกษา
126,32,3,พลางอุ้มองค์ยาหยีวิยะดา
127,32,4,ขึ้นรถแก้วแววฟ้าแล้วพาไป
128,33,1,พระเหลียวดูภูผาสตาหมัน
129,33,2,ที่สำคัญคูหาเคยอาไศรย
130,33,3,จะแลลับนับปีแต่นี้ไป
131,33,4,จะมิได้มาเห็นเหมือนเช่นเคย
132,34,1,เสียแรงแต่งแปลงสร้างจะร้างเริศ
133,34,2,ค่อยอยู่เถิดแผ่นผาคูหาเอ๋ย
134,34,3,โอ้มิ่งไม้ไพรพนมเคยชมเชย
135,34,4,จะแลเลยลับแล้วทุกแนวเนิน
136,35,1,โอ้นกเอ๋ยเคยพากันมาจับ
137,35,2,จะแลลับฝูงนกระหกระเหิน
138,35,3,โอ้เขาสูงฝูงหงส์เคยลงเดิน
139,35,4,เคยเพลิดเพลินพิศวงด้วยหงส์ทอง
140,36,1,จะเริศร้างห่างหงส์ไปดงอื่น
141,36,2,ทุกวันคืนค่ำเช้าจะเศร้าหมอง
142,36,3,โอ้ก้านกิ่งมิ่งไม้เรไรร้อง
143,36,4,ประสานซ้องเสียงดังดูวังเวง
144,37,1,ได้เคยฟังครั้งนี้มาวิบาก
145,37,2,ต้องพลัดพรากเพราะว่าลมทำข่มเหง
146,37,3,แม้นพบเห็นเปนตัวไม่กลัวเกรง
147,37,4,จะรำเพลงกฤชลาญสังหารลม
148,38,1,นี่จนใจไม่เห็นด้วยเปนเคราะห์
149,38,2,มาจำเภาะพลัดคู่เคยสู่สม
150,38,3,ยิ่งสุดแสนแค้นขัดอัดอารมณ์
151,38,4,จะแลชมอื่นอื่นไม่ชื่นใจ
152,39,1,แต่จำเปนเกนหลงมาดงด้วย
153,39,2,ต้องชี้ช่วยชมผาพฤกษาไสว
154,39,3,กรดกระถินอินจันทน์พรรณไม้
155,39,4,มีดอกใบก้านกิ่งขึ้นพริ้งเพรียว
156,40,1,บ้างแก่อ่อนซ้อนซับสลับสล้าง
157,40,2,บ้างสดสร่างสีชุ่มชอุ่มเขียว
158,40,3,ที่ตายตอหน่อหนุนขึ้นรุ่นเรียว
159,40,4,เถาวัลย์เกี่ยวกอดกิ่งเหมือนชิงช้า
160,41,1,พระชวนพลอดกอดน้องประคองอุ้ม
161,41,2,ให้ชมเพลินเดินมงุมมงาหรา
162,41,3,ป่าประเทศเขตรแคว้นแดนชวา
163,41,4,อินตผาลำชุมสลุมพัน
164,42,1,โกฏสดำจำปาดะดงองุ่น
165,42,2,สหัสคุณเข้าระคนปนปาหนัน
166,42,3,สลาสล้างนางแย้มเข้าแกมกัน
167,42,4,หญ้าฝรั่นฝรั่งเรียงขึ้นเคียงดง
168,43,1,โกฏกระวานกานพลูดูระบัด
169,43,2,กำจายกำจัดสารพันต้นตันหยง
170,43,3,หอมระรื่นชื่นใจที่ในดง
171,43,4,พฤกษาทรงเสาวคนธ์ดังปนปรุง
172,44,1,ที่พื้นปราบราบรายล้วนทรายอ่อน
173,44,2,เข้าดงดอนเลียบเดินเนินกุหนุง
174,44,3,เทียนยี่หร่าป่าฝิ่นส่งกลิ่นฟุ้ง
175,44,4,สมส้มกุ้งโกฏจุฬาการบูร
176,45,1,คิดถึงนุชบุษบานิจาเอ๋ย
177,45,2,มิได้เชยชมสบายมาหายสูญ
178,45,3,ยิ่งโศกเสียวเหลียวหาให้อาดูร
179,45,4,ยิ่งเพิ่มภูลพิศวงในดงแดน
180,46,1,ดูเล็บนางนึกถึงนางเหมือนอย่างเล็บ
181,46,2,เคยข่วนเจ็บรอยมีอยู่ที่แขน
182,46,3,เห็นนมนางกลางพนมนึกชมแทน
183,46,4,ลม้ายแม้นเหมือนเหมือนจะเยื้อนยิ้ม
184,47,1,มะปรางต้นผลอย่างพระปรางน้อง
185,47,2,น้ำเนตรคลองคลอคล้อยย้อยหยิมหยิม
186,47,3,ฝืนอารมณ์ชมพลับต้นทับทิม
187,47,4,ขึ้นรอบริมหว่างเขาลำเนาเนิน
188,48,1,พนมมาศลาดเลี่ยนเตียนตลิบ
189,48,2,บ้างสูงลิบลอยแหงนเปนแผ่นเผิน
190,48,3,บ้างทมึนทึนเทิ่งเปนเชิงเทิน
191,48,4,เปนกรอกเกริ่นโกรกกรวยลำห้วยธาร
192,49,1,เสียงสินธุดุดั้นลั่นพิฦก
193,49,2,สท้านสทึกโถมฟาดฉาดฉาดฉาน
194,49,3,ที่น้ำโจนโผนพังดังสท้าน
195,49,4,บ้างพุซ่านสาดสายสุหร่ายริน
196,50,1,คนึงถึงนุชบุษบาแม้นมาเห็น
197,50,2,จะลงเล่นลำธารละหารหิน
198,50,3,ฝูงปลาทองท่องไล่เล็มไคลกิน
199,50,4,กระดิกดิ้นดูงามตามกระบวน
200,51,1,ปลาเนื้ออ่อนอ่อนกายขึ้นว่ายเกลื่อน
201,51,2,ไม่อ่อนเหมือนเนื้อน้องประคองสงวน
202,51,3,ปลานวลจันทร์นั้นก็งามแต่นามนวล
203,51,4,ไม่งามชวนชื่นเช่นระเด่นดวง
204,52,1,พลางรีบทัพขับรถกำหนดแสวง
205,52,2,ทุกหล้าแหล่งลำเนาภูเขาหลวง
206,52,3,ไม่ประสบพบเห็นให้เย็นทรวง
207,52,4,ให้เหงาง่วงเงียบเหงาเศร้าพระไทย
208,53,1,ถึงพลมากจากมิตรแต่จิตรเปลี่ยว
209,53,2,เหมือนมาเดียวดั่งจะพาน้ำตาไหล
210,53,3,เห็นนกหกผกโผนโจนจับไม้
211,53,4,บ้างฟุบไซ้ปีกหางต่างต่างกัน
212,54,1,นกกระตั้วคลัวเคลียตัวเมียป้อน
213,54,2,เหมือนขวัญอ่อนแอบประทับพี่รับขวัญ
214,54,3,ป้อนสลาพาชื่นทุกคืนวัน
215,54,4,มาจากกันกรรมเอ๋ยไม่เคยเปน
216,55,1,เห็นนกเปล้าเคล้าคู่เข้าชูชื่น
217,55,2,ถอนสอื้นเหมือนไม่พอใจเห็น
218,55,3,พอเวลาสายัณห์ตวันเย็น
219,55,4,นกยูงเล่นลมเพลินบนเนินเตียน
220,56,1,บ้างเยื้องอกหกหางก้อกางปีก
221,56,2,แฉลกฉลีกเลี้ยวลัดฉวัดเฉวียน
222,56,3,บ้างย่างย่องจ้องประจงที่วงเวียน
223,56,4,ออกกลางเตียนตีนขวิดดูกรีดกราย
224,57,1,คิดถึงไปใช้บนได้ยลสมร
225,57,2,เมื่อทอดกรฟ้อนรำรบำถวาย
226,57,3,โอ้อาภัพลับนุชสุดเสียดาย
227,57,4,สอื้นอายมยุราให้อาวรณ์
228,58,1,เห็นเขาเขียวเดี่ยวโดดล้วนโสดสูง
229,58,2,แต่ล้วนฝูงหงส์จับสลับสลอน
230,58,3,หงส์ก็งามตามอย่างเพราะหางงอน
231,58,4,เปนคู่ป้อนปกปิดกันชิดชม
232,59,1,อรหันนั้นหน้าเหมือนมนุษย์
233,59,2,ปีกเหมือนครุธครีบเท้ามีเผ้าผม
234,59,3,พวกม่าเหมี่ยวเที่ยวเดินเนินพนม
235,59,4,ลูกเล็กล้มลากจูงเหมือนฝูงคน
236,60,1,เหล่าเลมาะเงาะป่าคุลาอยู่
237,60,2,เที่ยวกินปูเปี้ยวป่าผลาผล
238,60,3,สิงโตตื่นยืนหยัดสบัดตน
239,60,4,เห็นผู้คนโผนข้ามลำเนาเนิน
240,61,1,ฝูงมฤคถึกเถื่อนเที่ยวเกลื่อนกลุ้ม
241,61,2,เปนคู่คุมเคียงนางไม่ห่างเหิน
242,61,3,เห็นกวางทองย่องเยื้องชำเลืองเดิน
243,61,4,เหมือนน้องเชิญพานผ้าประหม่าเมียง
244,62,1,พี่เข้าด้วยช่วยประคองพระน้องนุช
245,62,2,สงสารสุดสุดสวาทไม่อาจเถียง
246,62,3,โอ้ยามนี้มิได้น้องประคองเคียง
247,62,4,พี่ก็เสี่ยงบุญตามเจ้าทรามเชย
248,63,1,เปนกุศลหนหลังเราทั้งสอง
249,63,2,คงได้น้องคืนมาเรียงเคียงเขนย
250,63,3,แม้นกรรมหนุนบุญน้อยจะลอยเลย
251,63,4,มิได้เชยบุษบาพงางอน
252,64,1,พระครวญคร่ำร่ำไรมาในรถ
253,64,2,โศกกำสรดแสนเสียดายสายสมร
254,64,3,พอเวลาสายัณห์ตวันรอน
255,64,4,ปักษาร่อนรีบกลับมาจับรัง
256,65,1,โอ้นกเอ๋ยเคยอยู่มาสู่ถิ่น
257,65,2,แต่ยุพินลิบลับไม่กลับหลัง
258,65,3,ครั้นแลดูสุริแสงก็แดงดัง
259,65,4,หนึ่งน้ำครั่งคล้ำฟ้านภาไลย
260,66,1,เหมือนครั้งนี้พี่มาโศกแสนเทวษ
261,66,2,ชลเนตรแดงเดือดดังเลือดไหล
262,66,3,โอ้ตวันครั้นจะลบภพไตร
263,66,4,ก็อาไลยโลกยังหยุดรั้งรอ
264,67,1,ประหลาดนักรักเอ๋ยมาเลยลับ
265,67,2,เหมือนเพลิงดับเด็ดเดี่ยวไปเจียวหนอ
266,67,3,ชลไนยไหลหลั่งลงคลั่งคลอ
267,67,4,ยิ่งเย็นย่อเสียวทรวงให้ร่วงโรย
268,68,1,ชนีน้อยห้อยไม้เรไรร้อง
269,68,2,เสียงแซ่ซ้องเริมรัวเรียกผัวโหวย
270,68,3,เหมือนอกพี่ที่ถวิลให้ดิ้นโดย
271,68,4,ลห้อยโหยหานางมากลางไพร
272,69,1,พระสุริยงค์ลงลับพยับค่ำ
273,69,2,ถึงแนวน้ำเนินผาพฤกษาไสว
274,69,3,หยุดสำนักพักพลสกลไกร
275,69,4,พระเนาในรถทองกับน้องยา
276,70,1,ถนอมแนบแอบองค์หลงหนึ่งหรัด
277,70,2,ให้บรรธมโสมนัสในรัถา
278,70,3,ต้องจากวังครั้งนี้เพราะพี่พา
279,70,4,พระน้องมาอ้างว้างวังเวงใจ
280,71,1,นอนเถิดหนายาหยีพี่จะกล่อม
281,71,2,งามละม่อมมิ่งขวัญอย่าหวั่นไหว
282,71,3,คิรีรอบขอบเคียงเหมือนเวียงไชย
283,71,4,อยู่ร่มไม้เหมือนปราสาทราชวัง
284,72,1,เคยสำเนียงเสียงนางสุรางค์เห่
285,72,2,มาฟังเรไรแซ่เหมือนแตรสังข์
286,72,3,เคยมีวิสูตรรูดกั้นบนบัลลังก์
287,72,4,มากำบังใบไม้ในไพรวัน
288,73,1,หนาวน้ำค้างกลางคืนสอื้นอ้อน
289,73,2,จะกางกรกอดน้องประคองขวัญ
290,73,3,เอาดวงดาราระยับกับพระจันทร์
291,73,4,ต่างช่อชั้นชวาลาระย้าย้อย
292,74,1,จักรจั่นหวั่นแว่วแจ้วแจ้วเสียง
293,74,2,ต่างสำเนียงขับครวญหวนละห้อย
294,74,3,พระพายเอ๋ยเชยมาต้องพระน้องน้อย
295,74,4,เหมือนนางคอยหมอบกรานอยู่งานพัด
296,75,1,โอ้เวลาปานฉนี้เจ้าพี่เอ๋ย
297,75,2,กะไรเลยแลเงียบเซียบสงัด
298,75,3,น้ำค้างเผาะเหยาะเย็นกระเซ็นซัด
299,75,4,ดึกสงัดดวงจิตรจึงนิทรา
300,76,1,พระขวัญเอ๋ยเคยนอนอย่าร่อนเร่
301,76,2,ไปว้าเหว่หว่างไม้ไพรพฤกษา
302,76,3,ขวัญมาอยู่สู่ที่พระพี่ยา
303,76,4,พระมารดาบิตุเรศนิเวศน์เวียง
304,77,1,พระขวัญเอ๋ยเคยแอบแนบถนอม
305,77,2,มาฟังกล่อมกลอนเพราะเสนาะเสียง
306,77,3,โอ้แรมล่วงดวงเดือนก็เลื่อนเอียง
307,77,4,พี่พิศเพียงพักตร์แฝงพลิกแพลงบัง
308,78,1,บุษบายาหยีเจ้าพี่เอ๋ย
309,78,2,ช่างลอยเลยลิบลับไม่กลับหลัง
310,78,3,เมื่ออุ้มออกนอกเขตรนิเวศน์วัง
311,78,4,พระน้องนั่งรถทรงที่ตรงริม
312,79,1,พี่หยอกเย้าเซ้าซี้มีแต่โกรธ
313,79,2,สอื้นโอษฐโอษฐเอี่ยมเสงี่ยมหงิม
314,79,3,อยู่ใกล้เคียงเพี้ยงเอ๋ยได้เชยชิม
315,79,4,ถนอมนิ่มเนื้อน่วมร่วมฤไทย
316,80,1,พระครวญคร่ำรำฦกจนดึกเงียบ
317,80,2,เย็นระเยียบหย่อมหญ้าพฤกษาไสว
318,80,3,สงบเสียงสิงสัตว์สงัดไพร
319,80,4,ทุกกอกิ่งมิ่งไม้พระไทรครึ้ม
320,81,1,สุมาลย์บานกลิ่นระรินรื่น
321,81,2,ในเที่ยงคืนเสียงแต่ผึ้งหึ่งกระหึม
322,81,3,ผีพระไทรไม้พุ่มงุมงุมงึม
323,81,4,โขมดพึมผิวกู่หวิวหวูโวย
324,82,1,เหล่ามารยาป่าโป่งเที่ยวโทงเถื่อน
325,82,2,ตะโกนเพื่อนเพิกเสียงสำเนียงโหย
326,82,3,น้ำค้างพรมลมเรื่อยเฉื่อยเฉื่อยโชย
327,82,4,ยิ่งดิ้นโดยเดือนดับไม่หลับเลย
328,83,1,จนทรวงเจ็บเหน็บแน่นแหงนดูฟ้า
329,83,2,องค์ปะตาระกาหลาเจ้าข้าเอ๋ย
330,83,3,พระน้องนุชบุษบาเจ้าข้าเคย
331,83,4,เปนคู่เชยชมชื่นให้คืนมา
332,84,1,ทั้งโกสีย์ตรีเนตรเห็นเหตุสิ้น
333,84,2,ว่ายุพินอยู่ที่ไหนนำไปหา
334,84,3,หาไม่ฉันวานแต่พระสุชาดา
335,84,4,ช่วยอุ้มพามาให้พบประสบกัน
336,85,1,ทั้งพรหมานวานแต่พาหนะหงส์
337,85,2,จะได้ทรงเหาะแสวงทุกแห่งสวรรค์
338,85,3,แม้นได้นุชบุษบาวิลาวรรณ
339,85,4,จะทำขวัญหงส์พรหมให้สมยศ
340,86,1,จนพลบค่ำรำฦกนึกอนาถ
341,86,2,ไม่ไสยาสน์ยามวิโยคโศกกำสรด
342,86,3,จนแจ่มแจ้งแสงตวันให้รันทด
343,86,4,ให้ยกทัพขับรถเลี้ยวลดเดิน
344,87,1,ทุกแว่นแคว้นแดนชวาสุธาทวีป
345,87,2,เที่ยวเร็วรีบรอบเกาะดังเหาะเหิน
346,87,3,ไม่พบเห็นเปนเคราะห์จำเภาะพเอิญ
347,87,4,ไปจนเกินมลากาภาราราย
348,88,1,เมืองระตูรู้ทั่วกลัวอำนาจ
349,88,2,ต่างแต่งราชธิดามาถวาย
350,88,3,ไม่ไยดีอีนังแต่ซังตาย
351,88,4,แม้นแก้วหายได้ปัดไม่ทดเทียม
352,89,1,แม้นมิเหมือนเพื่อนเชยที่เคยชิด
353,89,2,ไม่ขอคิดนึกหน่ายละอายเหนียม
354,89,3,แต่ปราไสไต่ถามตามธรรมเนียม
355,89,4,ไม่และเลียมเลยแสวงทุกแห่งไป
356,90,1,ถึงเจ็ดเดือนเคลื่อนคลาศประหลาดแล้ว
357,90,2,ไม่พบแก้วกลอยจิตรพิสมัย
358,90,3,จนพระรูปซูบผอมเพราะตรอมใจ
359,90,4,ทั้งนายไพร่พลนิกรอ่อนกำลัง
360,91,1,จนถึงทางร่วมที่บุรีรัตน์
361,91,2,ที่จะตัดมรคาไปกาหลัง
362,91,3,เห็นเขาเขินเนินร่มพนมวัง
363,91,4,ต้นดงรังครึกครื้นระรื่นเย็น
364,92,1,ที่ธารถ้ำน้ำพุทลุลั่น
365,92,2,เปนช่องชั้นบัลลังก์น่านั่งเล่น
366,92,3,ผลาผลหล่นกลาดดาษกระเด็น
367,92,4,ดอกไม้เปนดอกพร้อมหอมรัญจวน
368,93,1,จะใคร่บวชสวดมนต์อยู่บนเขา
369,93,2,เพราะแสนเศร้าสุดจะตามทรามสงวน
370,93,3,แม้นมิตามความรักเฝ้าชักชวน
371,93,4,ให้ปั่นป่วนไปตามเพราะความรัก
372,94,1,จะหักอื่นขืนหักก็จักได้
373,94,2,หักอาไลยนี้ไม่หลุดสุดจะหัก
374,94,3,สารพัดตัดขาดประหลาดนัก
375,94,4,แต่ตัดรักนี้ไม่ขาดประหลาดใจ
376,95,1,จะสร้างพรตอดรักหักสวาท
377,95,2,เผื่อจะขาดข้อคิดพิสมัย
378,95,3,แม้นน้องนุชบุษบานิคาไลย
379,95,4,จะได้ไปสู่สวรรค์ชั้นโสฬศ
380,96,1,จึงหยุดทัพยับยั้งตั้งอาศรม
381,96,2,รักษาพรหมจรรยด้วยกันหมด
382,96,3,ปะตาปาอายันอยู่บรรพต
383,96,4,อุส่าห์อดอาไลยก็ไม่คลาย
384,97,1,ภาวนาว่าจะตั้งปลงสังเวช
385,97,2,ก็หลับเนตรเห็นคู่ไม่รู้หาย
386,97,3,จะสวดมนต์ต้นถูกไปผูกปลาย
387,97,4,ก็กลับกลายเรื่องราวเปนกล่าวกลอน
388,98,1,คิดถึงนุชบุษบาออกมานั่ง
389,98,2,บนบัลลังก์เหลี่ยมผาน่าศิงขร
390,98,3,พระตรวจน้ำร่ำว่าด้วยอาวรณ์
391,98,4,หวังสมรเหมือนจะคลาศในชาติ์นี้
392,99,1,จะอุส่าห์ปะตาปารักษากิจ
393,99,2,อวยอุทิศผลผลาถึงยาหยี
394,99,3,จะเกิดไหนในจังหวัดปัถพี
395,99,4,ให้เหมือนปี่กับขลุ่ยต้องทำนองกัน
396,100,1,เปนจีนจามพราหมณ์ฝรั่งแลอังกฤษ
397,100,2,ให้สนิทเสนหาตุนาหงัน
398,100,3,แม้นเปนไทยให้เปนวงศ์ร่วมพงศ์พันธุ์
399,100,4,พอโสกันต์ให้ได้อยู่เปนคู่ครอง
400,101,1,ครั้นกรวดน้ำสำเร็จเสด็จกลับ
401,101,2,เข้าห้องหับโหยไห้พระไทยหมอง
402,101,3,ทุกเช้าค่ำรำฦกเฝ้าตรึกตรอง
403,101,4,จนขาดครองคราวสวาทนิราศเอย ๚ะ
